State,Year,Per_Capita_Personal_Consumption
Arizona,2010,30693
Arkansas,2010,26513
California,2010,34777
Colorado,2010,34871
Connecticut,2010,40978
Delaware,2010,37503
Florida,2010,34140
Georgia,2010,29170
Hawaii,2010,35172
Idaho,2010,26608
Illinois,2010,34161
Indiana,2010,29371
Iowa,2010,30456
Kansas,2010,31143
Kentucky,2010,28392
Louisiana,2010,29578
Maine,2010,35592
Maryland,2010,37405
Massachusetts,2010,42159
Michigan,2010,31173
Minnesota,2010,36024
Mississippi,2010,25986
Missouri,2010,31960
Montana,2010,33123
Nebraska,2010,32245
Nevada,2010,31626
New Hampshire,2010,40511
New Jersey,2010,40042
New Mexico,2010,28465
New York,2010,36723
North Carolina,2010,29346
North Dakota,2010,34381
Ohio,2010,30782
Oklahoma,2010,27938
Oregon,2010,31718
Pennsylvania,2010,35654
Rhode Island,2010,34689
South Carolina,2010,29679
South Dakota,2010,31812
Tennessee,2010,29336
Texas,2010,30573
Utah,2010,26917
Vermont,2010,38120
Virginia,2010,35834
Washington,2010,35123
West Virginia,2010,28720
Wisconsin,2010,32465
Wyoming,2010,34006
Alabama,2011,28420
Alaska,2011,41449
Arizona,2011,31596
Arkansas,2011,27560
California,2011,35971
Colorado,2011,36110
Connecticut,2011,41987
Delaware,2011,38827
Florida,2011,35387
Georgia,2011,30203
Hawaii,2011,35940
Idaho,2011,27447
Illinois,2011,35291
Indiana,2011,30369
Iowa,2011,31733
Kansas,2011,32249
Kentucky,2011,29278
Louisiana,2011,30548
Maine,2011,36888
Maryland,2011,38451
Massachusetts,2011,43317
Michigan,2011,32379
Minnesota,2011,37337
Mississippi,2011,26892
Missouri,2011,33117
Montana,2011,34474
Nebraska,2011,33759
Nevada,2011,32786
New Hampshire,2011,41544
New Jersey,2011,40783
New Mexico,2011,29514
New York,2011,38011
North Carolina,2011,30360
North Dakota,2011,37295
Ohio,2011,31960
Oklahoma,2011,29180
Oregon,2011,32654
Pennsylvania,2011,36831
Rhode Island,2011,35566
South Carolina,2011,30733
South Dakota,2011,32753
Tennessee,2011,30432
Texas,2011,31911
Utah,2011,27772
Vermont,2011,39855
Virginia,2011,36759
Washington,2011,36275
West Virginia,2011,29997
Wisconsin,2011,33534
Wyoming,2011,35846
Alabama,2012,28916
Alaska,2012,42455
Arizona,2012,32289
Arkansas,2012,28228
California,2012,37111
Colorado,2012,36576
Connecticut,2012,42958
Delaware,2012,39305
Florida,2012,36301
Georgia,2012,30880
Hawaii,2012,36664
Idaho,2012,28099
Illinois,2012,36010
Indiana,2012,31368
Iowa,2012,32497
Kansas,2012,32798
Kentucky,2012,29858
Louisiana,2012,31288
Maine,2012,37028
Maryland,2012,39062
Massachusetts,2012,44080
Michigan,2012,33396
Minnesota,2012,38165
Mississippi,2012,27446
Missouri,2012,34100
Montana,2012,35269
Nebraska,2012,34609
Nevada,2012,33406
New Hampshire,2012,42583
New Jersey,2012,41733
New Mexico,2012,29949
New York,2012,38845
North Carolina,2012,31233
North Dakota,2012,40344
Ohio,2012,32987
Oklahoma,2012,29899
Oregon,2012,33247
Pennsylvania,2012,37514
Rhode Island,2012,35780
South Carolina,2012,31125
South Dakota,2012,33932
Tennessee,2012,31035
Texas,2012,32899
Utah,2012,28718
Vermont,2012,40769
Virginia,2012,37420
Washington,2012,37189
West Virginia,2012,30768
Wisconsin,2012,34030
Wyoming,2012,36879
Alabama,2013,29589
Alaska,2013,42915
Arizona,2013,33074
Arkansas,2013,28821
California,2013,37969
Colorado,2013,37803
Connecticut,2013,43905
Delaware,2013,39934
Florida,2013,37073
Georgia,2013,31763
Hawaii,2013,37767
Idaho,2013,29192
Illinois,2013,36752
Indiana,2013,31914
Iowa,2013,33091
Kansas,2013,33224
Kentucky,2013,30452
Louisiana,2013,32050
Maine,2013,37867
Maryland,2013,39608
Massachusetts,2013,44940
Michigan,2013,34337
Minnesota,2013,39023
Mississippi,2013,28018
Missouri,2013,34668
Montana,2013,36100
Nebraska,2013,35113
Nevada,2013,34275
New Hampshire,2013,43628
New Jersey,2013,42452
New Mexico,2013,30456
New York,2013,39976
North Carolina,2013,32006
North Dakota,2013,41839
Ohio,2013,33965
Oklahoma,2013,30562
Oregon,2013,34050
Pennsylvania,2013,38296
Rhode Island,2013,36786
South Carolina,2013,31975
South Dakota,2013,34569
Tennessee,2013,31459
Texas,2013,33820
Utah,2013,29407
Vermont,2013,41460
Virginia,2013,37932
Washington,2013,38212
West Virginia,2013,31407
Wisconsin,2013,34727
Wyoming,2013,37722
Alabama,2014,30359
Alaska,2014,44251
Arizona,2014,34111
Arkansas,2014,29916
California,2014,39397
Colorado,2014,39453
Connecticut,2014,45492
Delaware,2014,41305
Florida,2014,38603
Georgia,2014,33085
Hawaii,2014,38712
Idaho,2014,30149
Illinois,2014,38013
Indiana,2014,32871
Iowa,2014,34153
Kansas,2014,34094
Kentucky,2014,31278
Louisiana,2014,32991
Maine,2014,38454
Maryland,2014,40550
Massachusetts,2014,46326
Michigan,2014,35627
Minnesota,2014,40100
Mississippi,2014,28762
Missouri,2014,35565
Montana,2014,37524
Nebraska,2014,36168
Nevada,2014,35383
New Hampshire,2014,44326
