State,Year,Per_Capita_Personal_Income
Arkansas,2011,34181
California,2011,45508
Colorado,2011,43735
Connecticut,2011,62964
Delaware,2011,43779
Florida,2011,40437
Georgia,2011,36760
Hawaii,2011,42758
Idaho,2011,33447
Illinois,2011,44075
Indiana,2011,37681
Iowa,2011,40879
Kansas,2011,42889
Kentucky,2011,34607
Louisiana,2011,38966
Maine,2011,39502
Maryland,2011,51797
Massachusetts,2011,54757
Michigan,2011,37689
Minnesota,2011,45134
Mississippi,2011,32454
Missouri,2011,38402
Montana,2011,38150
Nebraska,2011,45607
Nevada,2011,38595
New Hampshire,2011,49086
New Jersey,2011,52854
New Mexico,2011,35069
New York,2011,50772
North Carolina,2011,36822
North Dakota,2011,48873
Ohio,2011,38927
Oklahoma,2011,39694
Oregon,2011,37531
Pennsylvania,2011,44119
Rhode Island,2011,44095
South Carolina,2011,34406
South Dakota,2011,44532
Tennessee,2011,37696
Texas,2011,41941
Utah,2011,34015
Vermont,2011,43754
Virginia,2011,47563
Washington,2011,44279
West Virginia,2011,34490
Wisconsin,2011,41067
Wyoming,2011,50631
Alabama,2012,35559
Alaska,2012,53340
Arizona,2012,36364
Arkansas,2012,36289
California,2012,47793
Colorado,2012,45495
Connecticut,2012,63556
Delaware,2012,43771
Florida,2012,41211
Georgia,2012,37250
Hawaii,2012,43523
Idaho,2012,34812
Illinois,2012,45934
Indiana,2012,39148
Iowa,2012,42539
Kansas,2012,44913
Kentucky,2012,35630
Louisiana,2012,40662
Maine,2012,39992
Maryland,2012,52481
Massachusetts,2012,56259
Michigan,2012,39042
Minnesota,2012,47399
Mississippi,2012,33441
Missouri,2012,39983
Montana,2012,40217
Nebraska,2012,46385
Nevada,2012,39680
New Hampshire,2012,50715
New Jersey,2012,54235
New Mexico,2012,35694
New York,2012,52625
North Carolina,2012,38876
North Dakota,2012,56056
Ohio,2012,40279
Oklahoma,2012,41905
Oregon,2012,39128
Pennsylvania,2012,45637
Rhode Island,2012,45298
South Carolina,2012,35807
South Dakota,2012,44996
Tennessee,2012,39079
Texas,2012,43869
Utah,2012,35622
Vermont,2012,44858
Virginia,2012,49049
Washington,2012,47053
West Virginia,2012,35233
Wisconsin,2012,42639
Wyoming,2012,53597
Alabama,2013,35706
Alaska,2013,52252
Arizona,2013,36918
Arkansas,2013,36286
California,2013,48074
Colorado,2013,47088
Connecticut,2013,62000
Delaware,2013,43943
Florida,2013,40743
Georgia,2013,37484
Hawaii,2013,43548
Idaho,2013,35699
Illinois,2013,46735
Indiana,2013,39435
Iowa,2013,43009
Kansas,2013,45669
Kentucky,2013,35758
Louisiana,2013,40996
Maine,2013,39950
Maryland,2013,51871
Massachusetts,2013,56119
Michigan,2013,39292
Minnesota,2013,47413
Mississippi,2013,33976
Missouri,2013,40121
Montana,2013,40142
Nebraska,2013,45911
Nevada,2013,39331
New Hampshire,2013,50423
New Jersey,2013,54365
New Mexico,2013,34857
New York,2013,52874
North Carolina,2013,38074
North Dakota,2013,54337
Ohio,2013,40752
Oklahoma,2013,43607
Oregon,2013,39462
Pennsylvania,2013,45902
Rhode Island,2013,45104
South Carolina,2013,35923
South Dakota,2013,44988
Tennessee,2013,39099
Texas,2013,44403
Utah,2013,36102
Vermont,2013,45296
Virginia,2013,48195
Washington,2013,47448
West Virginia,2013,35093
Wisconsin,2013,42685
Wyoming,2013,52835
Alabama,2014,36722
Alaska,2014,55098
Arizona,2014,38268
Arkansas,2014,38220
California,2014,50617
Colorado,2014,50251
Connecticut,2014,64484
Delaware,2014,45359
Florida,2014,42877
Georgia,2014,39550
Hawaii,2014,45445
Idaho,2014,37107
Illinois,2014,48536
Indiana,2014,40719
Iowa,2014,44120
Kansas,2014,46289
Kentucky,2014,37225
Louisiana,2014,42533
Maine,2014,41137
Maryland,2014,53075
Massachusetts,2014,58129
Michigan,2014,40829
Minnesota,2014,49357
Mississippi,2014,34623
Missouri,2014,41380
Montana,2014,41850
Nebraska,2014,48187
Nevada,2014,41126
New Hampshire,2014,51988
New Jersey,2014,56367
New Mexico,2014,36880
New York,2014,54496
North Carolina,2014,39880
North Dakota,2014,56647
Ohio,2014,42277
Oklahoma,2014,45884
Oregon,2014,41654
Pennsylvania,2014,47467
Rhode Island,2014,46630
South Carolina,2014,37755
South Dakota,2014,46732
Tennessee,2014,40225
Texas,2014,46747
Utah,2014,37621
Vermont,2014,46894
Virginia,2014,49760
Washington,2014,50259
West Virginia,2014,36243
Wisconsin,2014,44156
Wyoming,2014,56251
Alabama,2015,38189
Alaska,2015,56714
Arizona,2015,39888
Arkansas,2015,39267
California,2015,53816
Colorado,2015,51401
Connecticut,2015,66222
Delaware,2015,47238
Florida,2015,44957
Georgia,2015,41527
Hawaii,2015,47150
Idaho,2015,38813
Illinois,2015,50688
Indiana,2015,42146
Iowa,2015,45442
Kansas,2015,46597
Kentucky,2015,38766
Louisiana,2015,42484
Maine,2015,42939
Maryland,2015,55032
Massachusetts,2015,61536
Michigan,2015,42982
Minnesota,2015,51353
