state_name,spliced_formations_per_quarter,year
california,749.5,2009
california,758.5,2010
california,792.25,2011
california,799.5,2012
california,843.5,2013
california,837.25,2014
california,891.25,2015
california,871.75,2016
california,868.0,2017
california,962.75,2018
california,906.75,2019
california,850.5,2020
california,973.75,2021
california,968.75,2022
california,1006.5,2023
california,971.75,2024
connecticut,81.75,2005
connecticut,75.0,2006
connecticut,67.75,2007
connecticut,55.25,2008
connecticut,51.75,2009
connecticut,53.0,2010
connecticut,54.5,2011
connecticut,53.75,2012
connecticut,51.0,2013
connecticut,49.75,2014
connecticut,52.5,2015
connecticut,47.5,2016
connecticut,49.75,2017
connecticut,52.5,2018
connecticut,50.0,2019
connecticut,44.25,2020
connecticut,54.75,2021
connecticut,55.5,2022
connecticut,57.5,2023
connecticut,56.5,2024
florida,784.5,2005
florida,675.5,2006
florida,582.5,2007
florida,467.75,2008
florida,459.0,2009
florida,468.0,2010
florida,478.25,2011
florida,468.0,2012
florida,486.75,2013
florida,504.0,2014
florida,522.25,2015
florida,512.75,2016
florida,513.0,2017
florida,535.25,2018
florida,501.75,2019
florida,509.75,2020
florida,603.25,2021
florida,614.25,2022
florida,629.0,2023
florida,611.0,2024
georgia,296.25,2005
georgia,289.5,2006
georgia,258.5,2007
georgia,200.5,2008
georgia,179.5,2009
georgia,182.75,2010
georgia,178.25,2011
georgia,177.0,2012
georgia,177.25,2013
georgia,183.5,2014
georgia,186.5,2015
georgia,188.25,2016
georgia,189.25,2017
georgia,197.75,2018
georgia,193.25,2019
georgia,202.75,2020
georgia,229.75,2021
georgia,228.0,2022
georgia,228.75,2023
georgia,206.5,2024
idaho,77.5,2005
idaho,75.5,2006
idaho,61.5,2007
idaho,42.5,2008
idaho,35.5,2009
idaho,34.25,2010
idaho,34.75,2011
idaho,34.25,2012
idaho,37.5,2013
idaho,38.25,2014
idaho,41.5,2015
idaho,44.25,2016
idaho,48.0,2017
idaho,54.25,2018
idaho,49.75,2019
idaho,51.0,2020
idaho,61.5,2021
idaho,61.75,2022
idaho,59.75,2023
idaho,60.5,2024
illinois,333.5,2005
illinois,311.75,2006
illinois,294.5,2007
illinois,255.75,2008
illinois,235.75,2009
illinois,240.5,2010
illinois,239.25,2011
illinois,239.25,2012
illinois,232.0,2013
illinois,230.5,2014
illinois,234.25,2015
illinois,223.75,2016
illinois,215.75,2017
illinois,219.0,2018
illinois,194.5,2019
illinois,182.5,2020
illinois,213.5,2021
illinois,204.25,2022
illinois,205.75,2023
illinois,202.0,2024
indiana,148.0,2005
indiana,139.75,2006
indiana,128.5,2007
indiana,98.75,2008
indiana,90.25,2009
indiana,90.75,2010
indiana,91.75,2011
indiana,92.25,2012
